A1,A2,cluster
3.29478476575,1.93085498536,7
3.10460369006,1.91725867953,7
3.27411926359,1.84681861844,8
3.21855616538,1.88689271321,7
3.39754103785,1.76356059221,8
3.04599551695,1.69051789879,8
3.3854530284,1.79886026453,8
3.31726669489,1.82227418449,8
3.12468199144,1.87032718794,7
3.19040264467,1.70718078449,8
3.24188652214,1.67279945676,8
3.09999116063,1.66634239991,8
3.14523260175,1.77328603051,8
3.19041566409,1.79105700939,8
3.1735899097,1.74938105555,8
4.20795272442,2.25846730972,1
4.08815262794,1.97789166887,1
3.98165912763,2.11845998549,1
4.1065067973,2.21065571393,1
4.25406567565,2.26879417888,1
4.20665415071,2.29581072685,1
4.04603287909,2.45346752734,1
3.95404063435,2.22413169154,1
3.72978806625,2.11757077891,5
4.06281524712,2.27738819478,1
4.05613529864,2.104145565,1
3.98196746902,2.22027909631,1
3.98897510426,2.3780904531,1
4.08154435646,2.36396705277,1
4.01454875743,2.39381582992,1
4.03866351397,2.15770382218,1
3.96608088642,2.184721393,1
4.0101208229,2.02342280478,1
3.96667481893,2.31381688994,1
4.02585062918,2.4284249473,1
4.06172781951,2.22649862329,1
3.85326823889,2.13691701232,5
4.01634588288,2.17035703794,1
4.02082299153,2.32786805027,1
3.97084337548,2.40410586251,1
4.08098288496,2.25619750594,1
3.91527709464,2.19888662375,1
4.08001370695,2.3155729842,1
4.12325764595,2.20343892638,1
3.97531520653,2.33852329371,1
4.40278384453,2.24094804534,9
4.38436996664,2.22449182863,9
4.32998125641,1.95522476027,9
4.4600884587,2.26175628848,9
4.63295870721,2.08924704274,9
4.51392326083,2.21699062022,9
4.42231674527,2.25341548456,9
4.45569689636,2.08204949579,9
4.3971688684,2.13096370493,9
4.4589710165,2.06997590328,9
4.51842846177,2.05047352496,9
4.47398565873,2.2546412853,9
4.48774806511,2.23573138294,9
4.49227733725,2.33527637464,9
4.23591180184,2.15523189534,1
4.34447633273,2.13562310086,9
4.6189418048,2.19857098612,9
4.45810896061,2.1240941032,9
4.53808527439,2.24628231067,9
4.32281776391,2.26630448213,9
4.45742921471,2.0752106938,9
4.50789062676,2.1491340871,9
4.63135652591,2.27715981441,2
4.52832135913,2.2152729275,9
4.48913764745,2.15144276557,9
4.47847347755,2.14190657246,9
4.38657537325,2.17412767065,9
4.48114582951,2.13829656748,9
4.48022853752,2.11801479399,9
4.38181370545,2.03527900598,9
3.76484040055,1.38650898871,6
3.5894497135,1.23089042161,3
3.74886104122,1.36154547354,6
3.54857331364,1.48211920582,6
3.39261704665,1.53018771064,8
3.62241492226,1.51610763877,6
3.5743855036,1.25280480984,3
3.38650949691,1.41562176331,8
3.67689654833,1.41359258846,6
3.73000745818,1.41300306534,6
3.65936391478,1.42688553222,6
3.52078502707,1.4151008031,6
3.67354330119,1.28596253071,3
3.70837174746,1.4125570847,6
3.6910765363,1.38065964234,6
3.68062794591,1.46617143372,6
3.67716595375,1.24746398269,3
3.53925507653,1.44563318386,6
3.52062737747,1.60812708171,6
3.54682780648,1.51144686318,6
3.58080411636,1.15929937408,3
3.72592491353,1.46758935879,6
3.65648732444,1.60547167491,6
3.70314017593,1.5341601146,6
3.54590579395,1.37954638419,6
3.61295199211,1.29706091673,3
3.50792872694,1.44478384337,6
3.66534273221,1.28941661484,3
3.32171819937,1.52478965709,8
3.59941011937,1.32620589716,3
3.54472895087,0.970993931771,3
3.42939904125,0.973650112047,3
3.55794918723,0.944868230532,3
3.69077948165,1.01393509183,3
3.7876785148,0.942660230957,3
3.75180870991,0.907588454186,3
3.59335597263,0.747771434556,3
3.61965651034,0.975893663727,3
3.56656342768,0.992164223947,3
3.66062252489,0.859886596157,3
3.60623991102,1.06091243013,3
3.68833114539,0.948913698271,3
3.69728134423,1.20978495562,3
3.69992792649,1.01518252141,3
3.39822502274,1.09234117417,3
3.61686113997,1.27723604047,3
3.56205790207,0.985749239513,3
3.43077026855,0.941100327882,3
3.4503868518,0.89610877998,3
3.56011713382,0.974068842229,3
3.53951392014,1.2461416357,3
3.72629428464,1.07283509028,3
3.5138974508,0.812785191543,3
3.70582472203,1.02313171584,3
3.59629258983,0.919040300972,3
3.61239046553,1.05770554232,3
3.56175359997,1.05536561693,3
3.42033942139,1.02297848961,3
3.55763300307,1.07087646794,3
3.59721759409,0.900376851401,3
4.77789657392,2.31895537442,2
4.82093276005,2.22334219662,2
4.96651432446,2.19382029392,2
5.01914330763,2.12716646359,2
4.77781147849,2.19049811049,2
4.85067154267,2.27703443089,2
4.77140596255,2.12980330661,2
4.70295952897,2.08127298435,2
4.86551483652,2.12306217031,2
5.01944028096,2.43201664712,2
4.90505951586,2.21123417295,2
4.89433119787,2.24468694022,2
4.88699644953,2.35834804818,2
4.70975824849,2.13993362012,2
4.70124753933,2.35700245218,2
4.8731176167,2.18590543403,2
4.74255092063,2.33268017096,2
4.78783941356,2.22788013609,2
4.85147037746,2.07777693289,2
4.74141724338,2.27874976563,2
4.7685335751,2.1186624251,2
4.89119145048,1.97415409992,2
4.84788225873,2.20622794856,2
4.7684777451,2.27911445656,2
4.73273631642,2.15054539631,2
4.72102013278,2.19177495562,2
4.81481030535,2.14611318523,2
4.84187706882,2.14872504117,2
4.7491986777,2.09778762039,2
4.84300737225,2.24345616259,2
